"HELSINGINTIE & LAVOLANTIE
",28.172931,61.0550006
"HELSINGINTIE & MERENLAHDENTIE
",28.1147697,61.0455118
"HELSINGINTIE & SALPAUSSELAENKATU
",28.1088608,61.0417066
"HELSINGINTIE & SKINNARILANKATU
",28.1172689,61.0464377
"JUPITERINKATU & ORIONINKATU
",28.0941362,61.0547751
"LASERKATU & SKINNARILANKATU
",28.0971872,61.0648014
"LASERKATU & TEKNOLOGIAPUISTONKATU
",28.09895,61.0626017
"LAVOLANTIE & HELSINGINTIE
",28.172931,61.0550006
"LAVOLANTIE & MERENLAHDENTIE
",28.1074603,61.0456851
"LAVOLANTIE & SALPAUSSELAENKATU
",28.0905971,61.0346767
"MERENLAHDENTIE & HELSINGINTIE
",28.1147697,61.0455118
"MERENLAHDENTIE & LAVOLANTIE
",28.1074603,61.0456851
"MERENLAHDENTIE & SAMMONLAHDENKATU
",28.0955558,61.0476984
"ORIONINKATU & JUPITERINKATU
",28.0941362,61.0547751
"ORIONINKATU & SAMMONLAHDENKATU
",28.1063591,61.0519467
"SALPAUSSELAENKATU & HELSINGINTIE
",28.1088608,61.0417066
"SALPAUSSELAENKATU & LAVOLANTIE
",28.0905971,61.0346767
"SALPAUSSELAENKATU & VANHA MIKKELINTIE
",28.0560983,61.0314843
"SAMMONLAHDENKATU & MERENLAHDENTIE
",28.0955558,61.0476984
"SAMMONLAHDENKATU & ORIONINKATU
",28.1063591,61.0519467
"SAMMONLAHDENKATU & SKINNARILANKATU
",28.1080816,61.0528734
"SKINNARILANKATU & HELSINGINTIE
",28.1172689,61.0464377
"SKINNARILANKATU & LASERKATU
",28.0971872,61.0648014
"SKINNARILANKATU & SAMMONLAHDENKATU
",28.1080816,61.0528734
"SKINNARILANKATU & TEKNOLOGIAPUISTONKATU
",28.1004103,61.0633741
"TEKNOLOGIAPUISTONKATU & LASERKATU
",28.09895,61.0626017
"TEKNOLOGIAPUISTONKATU & SKINNARILANKATU
",28.1004103,61.0633741
"VANHA MIKKELINTIE & SALPAUSSELAENKATU
",28.0560983,61.0314843
